編號	案類	發生(現)日期	發生時段
753	住宅竊盜	1050221	07~09
754	住宅竊盜	1050222	10~12
755	住宅竊盜	1050223	04~06
756	住宅竊盜	1050223	13~15
757	住宅竊盜	1050224	13~15
758	住宅竊盜	1050225	10~12
759	住宅竊盜	1050225	22~24
760	住宅竊盜	1050226	07~09
761	住宅竊盜	1050226	10~12
762	住宅竊盜	1050227	10~12
763	住宅竊盜	1050227	19~21
764	住宅竊盜	1050228	16~18
765	住宅竊盜	1050301	10~12
766	住宅竊盜	1050302	13~15
767	住宅竊盜	1050303	01~03
768	住宅竊盜	1050303	07~09
769	住宅竊盜	1050304	07~09
770	住宅竊盜	1050304	10~12
771	住宅竊盜	1050305	22~24
772	住宅竊盜	1050306	01~03
